"","nameGiven","yearID","adjusted_salary","teamID","bats","G","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP","Rank","W","L","rank_delta","batting_Average","homerun_Average"
"1","Donald William",1986,1296370.58421333,"BAL","R",66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,73,89,1,0,0
"2","James Justin",1986,794026.982830662,"TOR","R",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,86,76,1,0,0
"3","James Justin",1986,794026.982830662,"ATL","R",21,28,1,3,1,0,0,0,0,0,0,21,0,0,0,0,0,6,72,89,1,0.107142857142857,0
"4","Luis",1986,594169.851097774,"PHI","R",62,133,17,28,6,1,4,13,1,1,8,26,0,3,0,2,3,2,86,75,0,0.210526315789474,0.0300751879699248
"5","Richard Warren",1986,280880.293246221,"NYN","R",32,51,4,8,0,0,2,6,0,0,3,12,0,0,3,0,0,1,108,54,0,0.156862745098039,0.0392156862745098
"6","Michael Peter",1986,129637.058421333,"SFN","L",84,216,27,54,18,3,2,25,1,3,33,34,4,2,4,1,3,3,83,79,0,0.25,0.00925925925925926
"7","Doyle Lafayette",1986,1512432.34824888,"TOR","R",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,86,76,1,0,0
"8","Doyle Lafayette",1986,1512432.34824888,"ATL","R",18,38,2,8,1,0,0,5,0,0,0,8,0,0,6,1,2,6,72,89,1,0.210526315789474,0
"9","Andrew Neal",1986,129637.058421333,"CLE","R",101,293,30,66,7,3,1,29,10,1,14,36,0,1,11,4,7,5,84,78,0,0.225255972696246,0.00341296928327645
"10","Neil Patrick",1986,1944555.87631999,"CHA","R",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,72,90,1,0,0
"11","David Carter",1986,432123.528071108,"LAN","R",92,216,31,53,9,0,1,15,5,1,22,39,1,0,2,1,11,5,73,89,1,0.24537037037037,0.00462962962962963
"12","Larry Eugene",1986,129637.058421333,"PHI","R",10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,86,75,0,0,0
"13","Larry Eugene",1986,518548.23368533,"PHI","R",10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,86,75,0,0,0
"14","Larry Eugene",1986,129637.058421333,"HOU","R",38,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,96,66,0,0,0
"15","Larry Eugene",1986,518548.23368533,"HOU","R",38,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,96,66,0,0,0
"16","Joaquin",1986,2664761.03623262,"OAK","B",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,76,86,0,0,0
"17","Antonio Rafael",1986,2160617.64035554,"BOS","R",121,425,40,112,21,4,11,58,0,3,24,77,1,2,0,2,12,1,95,66,0,0.263529411764706,0.0258823529411765
"18","Alan Dean",1986,1134324.26118666,"HOU","B",120,315,24,81,15,0,7,38,1,0,39,56,9,0,1,6,7,1,96,66,0,0.257142857142857,0.0222222222222222
"19","Paul Andre",1986,129637.058421333,"ATL","L",61,6,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,6,72,89,1,0,0
"20","Keith Rowe",1986,396905.460533313,"OAK","R",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,76,86,0,0,0
"21","Keith Rowe",1986,396905.460533313,"MIN","R",47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,71,91,1,0,0
"22","Walter Wayne",1986,702200.733115551,"NYN","B",124,387,67,124,18,2,1,27,13,7,36,32,1,0,14,3,3,1,108,54,0,0.320413436692506,0.00258397932816537
"23","Scott Alan",1986,129637.058421333,"CLE","L",62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,84,78,0,0,0
"24","Harold Douglas",1986,1674478.67127555,"CHA","L",145,570,72,169,29,2,21,88,2,1,38,89,9,2,0,8,14,5,72,90,1,0.296491228070175,0.0368421052631579
"25","Charles Douglas",1986,207419.293474132,"OAK","R",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,76,86,0,0,0
"26","Johnnie B.",1986,1026293.37916888,"OAK","R",83,242,25,58,8,0,4,19,0,1,27,37,1,0,0,2,8,3,76,86,0,0.239669421487603,0.0165289256198347
"27","Stephen Charles",1986,1134324.26118666,"KCA","R",138,512,54,117,25,1,29,88,0,0,43,146,2,1,0,6,8,3,76,86,1,0.228515625,0.056640625
"28","Christopher Michael",1986,486138.969079997,"CLE","B",92,254,28,68,9,0,2,26,0,1,22,49,0,1,10,3,8,5,84,78,0,0.267716535433071,0.0078740157480315
"29","Michael Scott",1986,129637.058421333,"KCA","R",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,76,86,1,0,0
"30","Floyd Franklin",1986,2009374.40553065,"CHA","L",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,72,90,1,0,0
"31","Jesse Lee",1986,1566447.78925777,"TOR","R",158,589,107,170,35,2,40,108,8,8,69,146,5,8,0,5,9,4,86,76,1,0.288624787775891,0.067911714770798
