"","Genre","Movie_ID"
"1","Animation","862"
"2","Comedy","862"
"3","Family","862"
"4","Adventure","8844"
"5","Fantasy","8844"
"6","Family","8844"
"7","Romance","15602"
"8","Comedy","15602"
"9","Comedy","31357"
"10","Drama","31357"
"11","Romance","31357"
"12","Comedy","11862"
"13","Action","949"
"14","Crime","949"
"15","Drama","949"
"16","Thriller","949"
"17","Comedy","11860"
"18","Romance","11860"
"19","Action","45325"
"20","Adventure","45325"
"21","Drama","45325"
"22","Family","45325"
"23","Action","9091"
"24","Adventure","9091"
"25","Thriller","9091"
"26","Adventure","710"
"27","Action","710"
"28","Thriller","710"
"29","Comedy","9087"
"30","Drama","9087"
"31","Romance","9087"
"32","Comedy","12110"
"33","Horror","12110"
"34","Family","21032"
"35","Animation","21032"
"36","Adventure","21032"
"37","History","10858"
"38","Drama","10858"
"39","Action","1408"
"40","Adventure","1408"
"41","Drama","524"
"42","Crime","524"
"43","Drama","4584"
"44","Romance","4584"
"45","Crime","5"
"46","Comedy","5"
"47","Crime","9273"
"48","Comedy","9273"
"49","Adventure","9273"
"50","Action","11517"
"51","Comedy","11517"
"52","Crime","11517"
"53","Comedy","8012"
"54","Thriller","8012"
"55","Crime","8012"
"56","Drama","1710"
"57","Thriller","1710"
"58","Action","9691"
"59","Adventure","9691"
"60","Crime","9691"
"61","Thriller","9691"
"62","Drama","12665"
"63","Fantasy","12665"
"64","Fiction","12665"
"65","Thriller","12665"
"66","Drama","451"
"67","Romance","451"
"68","Drama","16420"
"69","Comedy","9263"
"70","Drama","9263"
"71","Family","9263"
"72","Drama","17015"
"73","Romance","17015"
"74","Fantasy","902"
"75","Fiction","902"
"76","Adventure","902"
"77","Drama","37557"
"78","Crime","37557"
"79","Drama","9909"
"80","Crime","9909"
"81","Fiction","63"
"82","Thriller","63"
"83","Mystery","63"
"84","Romance","78802"
"85","Adventure","78802"
"86","Fantasy","9598"
"87","Drama","9598"
"88","Comedy","9598"
"89","Family","9598"
"90","History","47018"
"91","Drama","47018"
"92","Romance","47018"
"93","Drama","687"
"94","Adventure","139405"
"95","History","139405"
"96","Drama","139405"
"97","Family","139405"
"98","Comedy","33689"
"99","Family","33689"
"100","Romance","33689"
"101","Comedy","9603"
"102","Drama","9603"
"103","Romance","9603"
"104","Drama","34615"
"105","Drama","31174"
"106","War","31174"
"107","Action","11443"
"108","Crime","11443"
"109","Drama","11443"
"110","History","11443"
"111","Drama","35196"
"112","Romance","35196"
"113","Action","9312"
"114","Fantasy","9312"
"115","Fantasy","577"
"116","Drama","577"
"117","Comedy","577"
"118","Thriller","577"
"119","Drama","11861"
"120","Romance","11861"
"121","Crime","807"
"122","Mystery","807"
"123","Thriller","807"
"124","Adventure","10530"
"125","Animation","10530"
"126","Drama","10530"
"127","Family","10530"
"128","Drama","8391"
"129","Romance","8391"
"130","Drama","629"
"131","Crime","629"
"132","Thriller","629"
"133","Action","117164"
"134","Thriller","117164"
"135","Drama","117164"
"136","Comedy","11448"
"137","Romance","11448"
"138","Drama","49133"
"139","Foreign","49133"
"140","Action","26441"
"141","Adventure","26441"
"142","Comedy","26441"
"143","Family","26441"
"144","Drama","97406"
"145","Comedy","9089"
"146","Drama","9089"
"147","Romance","9089"
"148","Comedy","11010"
"149","Drama","11010"
"150","Romance","11010"
"151","Thriller","99040"
"152","Drama","99040"
